t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477408,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477438,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477468,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477498,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477528,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477558,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477588,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477618,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477648,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477678,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477708,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477738,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477768,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477798,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477828,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477858,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477888,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477918,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477948,0,0.000000,0.000000,0.000000,0.000000,events/second
1621477978,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478008,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478038,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478068,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478098,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478128,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478158,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478188,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478218,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478248,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478278,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478308,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478338,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478368,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478398,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478428,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478458,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478488,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478518,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478548,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478578,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478608,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478638,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478668,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478698,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478728,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478758,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478788,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478818,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478848,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478878,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478908,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478938,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478968,0,0.000000,0.000000,0.000000,0.000000,events/second
1621478998,0,0.000000,0.000000,0.000000,0.000000,events/second
1621479028,0,0.000000,0.000000,0.000000,0.000000,events/second
1621479058,0,0.000000,0.000000,0.000000,0.000000,events/second
